municipality,district
Běleč,"['Tábor', 'Tišnov', 'Kladno']"
Běleč nad Orlicí,['Hradec Králové']
Bělkovice-Lašťany,['Olomouc']
Běloky,['Kladno']
Bělotín,['Hranice']
Bělov,['Otrokovice']
Bělušice,"['Most', 'Kolín']"
Bělá,"['Semily', 'Světlá nad Sázavou', 'Hlučín', 'Pelhřimov']"
Bělá nad Radbuzou,['Domažlice']
Bělá nad Svitavou,['Svitavy']
Bělá pod Bezdězem,['Mladá Boleslav']
Bělá pod Pradědem,['Jeseník']
Bělá u Jevíčka,['Moravská Třebová']
Bělčice,['Blatná']
Běrunice,['Poděbrady']
Běstovice,['Vysoké Mýto']
Běstvina,['Chrudim']
Běšiny,['Klatovy']
Běštín,['Hořovice']
Břasy,['Rokycany']
Břeclav,['Břeclav']
Břehov,['České Budějovice']
Břehy,['Přelouč']
Břest,['Kroměříž']
Břestek,['Uherské Hradiště']
Břevnice,['Havlíčkův Brod']
Břevnov,['Praha']
Březejc,['Velké Meziříčí']
Březina,"['Tišnov', 'Moravská Třebová', 'Jičín', 'Šlapanice', 'Mnichovo Hradiště', 'Jindřichův Hradec', 'Rokycany']"
Březina (vojenský újezd),['Vyškov']
Březinky,['Moravská Třebová']
Březiny,['Polička']
Březiněves,['Praha']
Březnice,"['Tábor', 'Příbram', 'Zlín']"
Březno,"['Mladá Boleslav', 'Chomutov']"
Březník,['Náměšť nad Oslavou']
Březolupy,['Uherské Hradiště']
Březovice,['Mladá Boleslav']
Březová,"['Hořovice', 'Vítkov', 'Karlovy Vary', 'Uherský Brod', 'Vizovice', 'Sokolov']"
Březová nad Svitavou,['Svitavy']
Březová-Oleško,['Černošice']
Březsko,['Konice']
Březské,['Velké Meziříčí']
Březí,"['Velké Meziříčí', 'Blatná', 'Říčany', 'Mikulov']"
Březí nad Oslavou,['Žďár nad Sázavou']
Březůvky,['Zlín']
Břežany,"['Znojmo', 'Rakovník', 'Horažďovice']"
Břežany I,['Kolín']
Břežany Ii,['Český Brod']
Břidličná,['Rýmařov']
Břvany,['Louny']
Bříství,['Lysá nad Labem']
Bříza,['Roudnice nad Labem']
Bříšťany,['Hořice']
Bžany,['Teplice']
Cebiv,['Stříbro']
Cehnice,['Strakonice']
Cejle,['Jihlava']
Cekov,['Rokycany']
Cep,['Třeboň']
Cerekvice nad Bystřicí,['Hořice']
